ID,Year,Month,Day,Type,Dead,Dead Perpetrator,Injured,Injured Perpetrator,Country,City,Perpetrator
1024,2018,6,2,shooting,12,,0,, Iraq,Balad District,Islamic State
1025,2018,6,2,shooting,1,,5,, Libya,Ajdabiya,Islamic State
1026,2018,6,2,arson,1,,5,, Libya,Ajdabiya,Islamic State
1027,2018,6,2,shooting,0,1,2,, Pakistan,Karachi,Hizbul Ahrar
1028,2018,6,2,suicide bombing,0,1,2,, Pakistan,Karachi,Hizbul Ahrar
1029,2018,6,2,shooting,3,,0,, Somalia,Mogadishu,Al-Shabaab (suspected)
1030,2018,6,2,shooting,1,,0,, Colombia,Briceño,FARC dissidents
1031,2018,6,3,roadside bombing,3,,0,,Afghanistan,Dih Bala district,Islamic State of Iraq and the Levant – Khorasan Province
1032,2018,6,3,bombing,2,,0,, Iraq,Kirkuk Governorate,Islamic State (suspected)
1033,2018,6,3,executions,5,,0,, Mozambique,Macomia District,Ansar al-Sunna
1034,2018,6,3,shooting,10,,30,, Pakistan,Wanna,Tehrik-i-Taliban Pakistan
1035,2018,6,4,assassinations,4,,0,, Colombia,Cauca Department,FARC dissidents
1036,2018,6,4,grenade attacks,0,,23,, India,Pulwama and Shopian,Jaish-e-Mohammed
1037,2018,6,4,bombing,0,,2,, Iraq,Taji District,Islamic State (suspected)
1038,2018,6,4,suicide bombings,9,3,38,, Niger,Diffa,Boko Haram
1039,2018,6,4,shooting,0,,6,, Philippines,Echague,New People's Army
1040,2018,6,4,suicide bombing,14,1,22,, Afghanistan,Kabul,Islamic State
1041,2018,6,4,car bombing,14,1,22,, Afghanistan,Kabul,Islamic State
1042,2018,6,4,ambush,1,,2,, Philippines,Lopez,New People's Army
1043,2018,6,5,stabbing,7,,4,, Mozambique,Macomia District,Ansar al-Sunna
1044,2018,6,5,shooting,7,,4,, Mozambique,Macomia District,Ansar al-Sunna
1045,2018,6,5,arson,7,,4,, Mozambique,Macomia District,Ansar al-Sunna
1046,2018,6,5,shooting,1,,9,, Philippines,Sagada,New People's Army
1047,2018,6,5,shooting,0,,3,, India,Lampong Sheanghah,National Socialist Council of Nagaland
1048,2018,6,5,kidnapping,0,,1,, Cameroon,Ambazonia,Ambazonia Defence Forces
1049,2018,6,5,shooting,2,,0,, Iran,Sardasht County,Democratic Party of Iranian Kurdistan
1050,2018,6,5,shooting,8,,9,, Sudan,Nyala,Unknown
1051,2018,6,5,shooting,2,8,0,, Somalia,Bardera,Al-Shabaab
1052,2018,6,5,shooting,0,,4,, Colombia,Hacarí,EPL
1053,2018,6,5,ambush,12,,0,, Somalia,Middle Shabelle,Al-Shabaab
1054,2018,6,6,bombing,0,,1,, Thailand,Muang district,Barisan Revolusi Nasional (suspected)
1055,2018,6,6,bombing,6,,3,, Kenya,Liboi,Al-Shabaab
1056,2018,6,6,bombing,2,,2,, Afghanistan,Puli Khumri District,Taliban
1057,2018,6,6,bombings,20,,110,, Iraq,Baghdad,Islamic State (suspected)
1058,2018,6,6,execution,6,,2,, Mozambique,Quissanga District,Ansar al-Sunna
1059,2018,6,6,shooting,6,,2,, Mozambique,Quissanga District,Ansar al-Sunna
1060,2018,6,6,arson,6,,2,, Mozambique,Quissanga District,Ansar al-Sunna
1061,2018,6,6,shooting,1,,0,, Somalia,Mogadishu,Al-Shabaab
1062,2018,6,7,ambush,4,,0,, Peru,Anco District,Shining Path
1063,2018,6,7,shooting,1,,1,, India,Keran,Jaish-e-Mohammed
1064,2018,6,7,shooting,2,,0,, India,Saraikela,CPI
1065,2018,6,7,shooting,1,,1,, Mali,Gossi,Al-Qaeda in the Islamic Maghreb (suspected)
1066,2018,6,7,bombing,2,,0,, Mali,Koro Cercle,Al-Qaeda in the Islamic Maghreb (suspected)
1067,2018,6,7,bombing,3,,2,, Pakistan,Lower Dir District,Tehrik-i-Taliban Pakistan
1068,2018,6,7,shooting,4,,0,, Thailand,Sukhirin District,Barisan Revolusi Nasional (suspected)
1069,2018,6,7,shooting,22,,0,, Syria,As-Suwayda Governorate,Islamic State
1070,2018,6,7,shooting,1,,0,, Colombia,Convención,ELN
1071,2018,6,8,shooting,10,4,0,, Cameroon,Diamaré,Boko Haram
1072,2018,6,8,stabbing,10,4,0,, Cameroon,Diamaré,Boko Haram
1073,2018,6,8,bombing,1,,14,, Iraq,Kirkuk,Islamic State (suspected)
1074,2018,6,8,shooting,1,,5,, Somalia,Jamame District,Al-Shabaab
1075,2018,6,8,mortar attack,1,,5,, Somalia,Jamame District,Al-Shabaab
1076,2018,6,8,shooting,30,10,0,, Syria,Abu Kamal,Islamic State
1077,2018,6,8,suicide bombings,30,10,0,, Syria,Abu Kamal,Islamic State
1078,2018,6,8,shootings,65,,17,, Afghanistan,Shah Wali Kot District,Taliban
1079,2018,6,9,arson,0,,0,, Chile,Curacautín,Resistencia Mapuche Malleco
1080,2018,6,9,bombing,2,,20,, Iraq,Al Khalis,Islamic State
1081,2018,6,9,shooting,3,13,3,, Mali,Boni and Dallah,Al-Qaeda in the Islamic Maghreb (suspected)
1082,2018,6,9,bombing,3,13,3,, Mali,Boni and Dallah,Al-Qaeda in the Islamic Maghreb (suspected)
1083,2018,6,9,suicide bombing,0,1,0,, Nigeria,Maiduguri,Boko Haram
1084,2018,6,9,suicide car bombing,0,2,7,, Somalia,Kismayo District,Al-Shabaab
1085,2018,6,10,shooting,9,,18,, Iran,Oshnavieh,Democratic Party of Iranian Kurdistan
1086,2018,6,10,clashes,9,,18,, Iran,Oshnavieh,Democratic Party of Iranian Kurdistan
1087,2018,6,10,shooting,2,,15,, Iraq,Kirkuk Governorate,Islamic State
1088,2018,6,10,kidnapping,2,,15,, Iraq,Kirkuk Governorate,Islamic State
1089,2018,6,11,shooting,1,,0,, Cameroon,Furu-Awa,Ambazonia Defence Forces
1090,2018,6,11,bombing,0,,10,, India,Anantnag,Jaish-e-Mohammed (suspected)
1091,2018,6,11,suicide bombing,2,1,4,, Nigeria,Maiduguri,Boko Haram
1092,2018,6,11,shooting,2,,0,, India,Pulwama district,Jaish-e-Mohammed (suspected)
1093,2018,6,11,suicide bombing,17,1,40,, Afghanistan,Kabul,Islamic State
1094,2018,6,11,bombing,6,,3,, Afghanistan,Jaghatū District,Taliban (suspected)
1095,2018,6,11,shooting,15,,0,, Afghanistan,Qalay-I-Zal District,Taliban
1096,2018,6,11,shooting,1,,0,, Bangladesh,Sirajdikhan Upazila,Jamaat-ul-Mujahideen Bangladesh
1097,2018,6,11,shootings,3,,13,, Iraq,Kirkuk Governorate,Islamic State
1098,2018,6,11,bombing,3,,13,, Iraq,Kirkuk Governorate,Islamic State
1099,2018,6,11,stabbing,0,,1,, Israel,Afula,Palestinian nationalist
1100,2018,6,11,shooting,4,,0,, Mozambique,Nangade District,Ansar al-Sunna
1101,2018,6,11,stabbing,4,,0,, Mozambique,Nangade District,Ansar al-Sunna
1102,2018,6,11,arson,4,,0,, Mozambique,Nangade District,Ansar al-Sunna
1103,2018,6,11,shooting,0,,6,, Peru,Satipo Province,Shining Path
1104,2018,6,11,suicide bombing,2,1,3,, Libya,Derna,Derna Protection Force
1105,2018,6,11,shooting,5,,0,, Thailand,Bannang Sata District,Barisan Revolusi Nasional (suspected)
1106,2018,6,12,shooting,1,,1,, Philippines,Guihulngan,New People's Army
1107,2018,6,12,shooting,14,,25,, Afghanistan,Sayyad District,Taliban
1108,2018,6,12,hostage taking,14,,25,, Afghanistan,Sayyad District,Taliban
1109,2018,6,12,shooting,13,,16,, Afghanistan,Kohistan District,Taliban
1110,2018,6,12,suicide car bombing,5,1,26,, Afghanistan,Muqur District,Taliban (suspected)
1111,2018,6,12,suicide car bombings,0,2,4,, Libya,Derna,Derna Protection Force
1112,2018,6,12,execution,1,,0,, Mozambique,Macomia District,Ansar al-Sunna
1113,2018,6,12,arson,1,,0,, Mozambique,Macomia District,Ansar al-Sunna
1114,2018,6,13,stabbing,1,,0,, Cameroon,Mayo-Sava,Boko Haram
1115,2018,6,13,shooting,1,,0,, Cameroon,Mayo-Sava,Boko Haram
1116,2018,6,13,shooting,20,8,9,, Afghanistan,Jurm District,Taliban
1117,2018,6,13,hostage taking,20,8,9,, Afghanistan,Jurm District,Taliban
1118,2018,6,14,shooting,3,,1,, India,Srinagar,Lashkar-e-Taiba
1119,2018,6,14,shooting,1,2,0,, India,Bandipora district,Lashkar-e-Taiba (suspected)
1120,2018,6,14,kidnapping,1,,0,, India,Pulwama district,Lashkar-e-Taiba and Hizbul Mujahideen
1121,2018,6,14,shooting,1,,0,, India,Pulwama district,Lashkar-e-Taiba and Hizbul Mujahideen
1122,2018,6,14,arson,0,,0,, Mozambique,Macomia District,Ansar al-Sunna
1123,2018,6,14,shooting,4,,9,, Turkey,Suruç,PKK (suspected)
1124,2018,6,15,bombing,1,,0,, Somalia,Daynile District,Islamic State
1125,2018,6,15,shooting,Unknown,1,Unknown,, Cameroon,Buea,Ambazonia Defence Forces
1126,2018,6,16,shooting,1,,Unknown,, Cameroon,Fundong,Ambazonia Defence Forces
1127,2018,6,16,clashes,1,,Unknown,, Cameroon,Fundong,Ambazonia Defence Forces
1128,2018,6,16,suicide bombing,36,1,65,, Afghanistan,Rodat District,Islamic State
1129,2018,6,16,bike bombing,0,,6,, Colombia,Caloto,FARC dissidents
1130,2018,6,16,suicide bombing,1,2,0,, Cameroon,Limani,Boko Haram
1131,2018,6,16,attempted suicide bombing,1,2,0,, Cameroon,Limani,Boko Haram
1132,2018,6,16,shooting,2,,0,, Cameroon,Hile-Alifa,Boko Haram
1133,2018,6,16,suicide bombings,43,6,84,, Nigeria,Damboa,Boko Haram
1134,2018,6,16,mortar attack,1,,1,, Philippines,General Salipada K. Pendatun,Bangsamoro Islamic Freedom Fighters
1135,2018,6,16,shooting,0,1,1,, Burkina Faso,Comin-Yanga Department,Al-Qaeda in the Islamic Maghreb (suspected)
1136,2018,6,16,shooting,1,,0,, Burkina Faso,Pama Department,Al-Qaeda in the Islamic Maghreb (suspected)
